Tournament,Date,Prize,P#,Location,Winner,Runner-up
Get On My Level Get On My Level 2016,"May 20 - 22, 2016","$7,710",509,Canada Toronto,Sweden FoxLeffen,United States FoxFalcoMarthMango
DreamHack DreamHack Austin 2016,"May 6 - 8, 2016","$10,000",397,United States Austin,United States FoxFalcoMango,United States JigglypuffHungrybox
Enthusiast Gaming Live Expo Enthusiast Gaming Live Expo,"Apr 29 - May 1, 2016","$6,026",228,Canada Toronto,United States JigglypuffHungrybox,United States FoxFalcoMarthMango
Smash Summit Smash Summit 2,"Apr 21 - 24, 2016","$25,923",16,United States Los Angeles,Sweden PeachFoxArmada,United States JigglypuffHungrybox
Pound Pound 2016,"Apr 2 - 3, 2016","$13,995",933,United States Tysons Corner,United States JigglypuffHungrybox,United States FoxMarthMango
Battle of the Five Gods,"Mar 17 - 19, 2016","$25,000",20,United States Austin,United States JigglypuffHungrybox,United States FoxMango
PAX PAX Arena,"Jan 29 - 31, 2016","$3,500",55,United States San Antonio,United States JigglypuffHungrybox,United States FoxFalcoMango
GENESIS GENESIS 3,"Jan 15 - 17, 2016","$23,779","1,828",United States San Jose,Sweden PeachFoxArmada,United States FoxFalcoMango
DreamHack DreamHack Winter 2015,"Nov 26 - 28, 2015","$20,000",357,Sweden Jönköping,United States JigglypuffHungrybox,Sweden FoxPeachArmada
Smash Summit Smash Summit,"Nov 5 - 8, 2015","$32,929",16,United States Los Angeles,Sweden PeachFoxArmada,United States FalcoMango
The Big House The Big House 5,"Oct 2 - 4, 2015","$18,170","1,317",United States Dearborn,Sweden FoxPeachArmada,United States JigglypuffHungrybox
HTC Throwdown,"Sep 19, 2015","$14,121",386,United States San Francisco,Sweden FoxLeffen,United States JigglypuffHungrybox
Paragon Paragon Los Angeles 2015,"Sep 5 - 6, 2015","$7,470",547,United States Ontario,United States FalcoFoxMango,United States MarthSheikFoxMew2King
Super Smash Con Super Smash Con,"Aug 7 - 9, 2015","$15,930",593,United States Chantilly,Sweden FoxLeffen,United States SheikMarthMew2King
Evolution Championship Series EVO 2015,"Jul 17 - 19, 2015","$18,690","1,869",United States Las Vegas,Sweden FoxPeachArmada,United States JigglypuffHungrybox
WTFox WTFox,"Jul 10 - 11, 2015","$3,050",150,United States Memphis,Sweden FoxLeffen,United States FoxFalcoMango
MELEE-FC FC Smash 15XR: Return,"Jul 4 - 5, 2015","$2,130",208,United States Notre Dame,Sweden FoxLeffen,United States JigglypuffHungrybox
CEO CEO 2015,"Jun 26 - 28, 2015","$7,830",483,United States Orlando,Sweden FoxLeffen,Sweden FoxPeachArmada
Press Start,"May 9 - 10, 2015","$5,750",222,United States Irvine,United States FoxFalcoMango,United States Ice ClimbersFly Amanita
Sandstorm,"Apr 18 - 19, 2015","$3,465",231,United States Tempe,Sweden PeachFoxArmada,United States FalcoFoxWestballz
I'm Not Yelling!,"Apr 11 - 12, 2015","$4,740",316,United States Oakland,Sweden PeachFoxArmada,United States FoxFalcoMango
Apex Apex 2015,"Jan 31 - Feb 1, 2015","$18,070","1,037",United States Somerset,United States MarthFalcoPPMD,Sweden FoxPeachArmada
Paragon Paragon 2015,"Jan 17 - 18, 2015","$3,390",262,United States Orlando,United States JigglypuffHungrybox,United States SheikMarthFoxMew2King
B.E.A.S.T B.E.A.S.T 5,"Jan 9 - 11, 2015","$5,942",375,Sweden Gothenburg,Sweden FoxLeffen,Sweden PeachArmada
